City,Lat,Lon,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Bambous Virieux,-20.34,57.76,75.2,60,40,16.11,MU,1597305750
Punta Arenas,-53.15,-70.92,30.2,86,88,10.29,CL,1597305750
Rikitea,-23.12,-134.97,69.85,77,60,16.15,PF,1597305750
Bethel,41.37,-73.41,71.6,83,20,4.29,US,1597305751
Harper,4.38,-7.72,75.2,69,47,4.43,LR,1597305751
Butaritari,3.07,172.79,81.99,65,8,6.53,KI,1597305751
Port Hardy,50.7,-127.42,48.2,100,75,4.7,CA,1597305752
Tenabo,20.05,-90.23,76.33,83,97,2.3,MX,1597305752
Nandu,22.85,110.82,79.86,85,100,3.49,CN,1597305753
Anantapur,14.68,77.6,82.18,65,100,20.83,IN,1597305753
Hobart,-42.88,147.33,54.0,81,75,5.82,AU,1597305621
Atuona,-9.8,-139.03,78.1,79,6,16.53,PF,1597305754
Cabo San Lucas,22.89,-109.91,86.0,67,46,9.75,MX,1597305678
Remedios,22.49,-79.55,77.0,94,40,1.12,CU,1597305755
Camacha,33.08,-16.33,71.6,73,40,10.29,PT,1597305756
Ilulissat,69.22,-51.1,39.2,93,93,13.87,GL,1597305527
Puerto Nariño,-3.77,-70.38,73.4,100,100,2.98,CO,1597305756
Grahamstown,-33.3,26.53,52.66,53,37,28.03,ZA,1597305757
Thinadhoo,0.53,72.93,83.01,66,29,1.28,MV,1597305609
Cape Town,-33.93,18.42,62.01,76,40,2.24,ZA,1597305683
Bengkulu,-3.8,102.27,84.42,67,100,6.73,ID,1597305757
Brae,60.4,-1.35,55.4,100,90,8.05,GB,1597305758
Cidreira,-30.18,-50.21,56.14,95,100,6.93,BR,1597305758
Busselton,-33.65,115.33,61.0,47,44,7.34,AU,1597305758
La Ronge,55.1,-105.28,53.6,93,20,3.36,CA,1597305758
Sinnamary,5.38,-52.95,76.78,87,94,7.0,GF,1597305759
George Town,5.41,100.34,89.6,59,20,5.82,MY,1597305759
Jamestown,42.1,-79.24,64.4,72,1,5.82,US,1597305759
Pringsewu,-5.36,104.97,77.56,88,100,3.42,ID,1597305759
Thompson,55.74,-97.86,64.4,72,75,3.36,CA,1597305759
Sur,22.57,59.53,93.9,52,0,7.78,OM,1597305760
Ushuaia,-54.8,-68.3,32.0,92,75,20.8,AR,1597305662
Tonekābon,36.82,50.87,82.4,65,20,9.17,IR,1597305760
Torbay,47.67,-52.73,66.0,93,20,12.75,CA,1597305761
Yelovo,57.05,54.92,60.12,55,40,7.43,RU,1597305761
East London,-33.02,27.91,62.6,48,20,31.09,ZA,1597305761
San Fernando del Valle de Catamarca,-28.47,-65.79,44.01,54,1,0.78,AR,1597305600
Conde,-7.26,-34.91,69.8,100,40,4.7,BR,1597305762
Saint Paul Harbor,57.79,-152.41,52.29,85,36,4.07,US,1597305762
Klaksvík,62.23,-6.59,51.8,93,90,6.93,FO,1597305762
Puerto Ayora,-0.74,-90.35,64.99,92,91,6.8,EC,1597305762
Albany,42.6,-73.97,66.0,75,88,3.31,US,1597305608
Mataura,-46.19,168.86,42.01,73,86,1.99,NZ,1597305763
Dzhebariki-Khaya,62.22,135.8,48.06,90,100,8.16,RU,1597305763
Arlit,18.74,7.39,90.05,42,4,7.38,NE,1597305763
Shizilu,35.17,118.83,87.28,84,100,13.09,CN,1597305764
Mersing,2.43,103.84,89.6,75,40,3.36,MY,1597305579
New Norfolk,-42.78,147.06,53.01,84,99,1.99,AU,1597305764
Beringovskiy,63.05,179.32,53.35,72,100,10.38,RU,1597305764
Lishan,31.86,113.3,90.91,71,100,13.24,CN,1597305765
Tapes,-30.67,-51.4,56.28,97,100,5.88,BR,1597305685
Rio Grande,-32.03,-52.1,50.0,96,100,9.06,BR,1597305469
Korla,41.76,86.15,89.96,15,84,3.98,CN,1597305765
Pisco,-13.7,-76.22,52.0,87,0,2.24,PE,1597305766
Mumbai,19.01,72.85,86.0,79,75,12.75,IN,1597305766
Port Alfred,-33.59,26.89,59.85,56,97,31.72,ZA,1597305766
Marrakesh,31.63,-8.01,69.8,68,0,4.7,MA,1597305661
Inyonga,-6.72,32.07,79.56,33,81,7.25,TZ,1597305767
Broome,42.25,-75.83,60.01,100,100,1.95,US,1597305767
Flin Flon,54.77,-101.86,60.51,96,100,6.49,CA,1597305767
Araouane,18.9,-3.53,91.31,42,8,5.37,ML,1597305767
Krasnoarmeysk,51.02,45.7,69.01,57,0,5.99,RU,1597305768
Tanabe,33.73,135.37,86.0,84,40,8.05,JP,1597305768
Berlevåg,70.86,29.09,50.0,87,75,6.93,NO,1597305768
Bluff,-46.6,168.33,42.01,73,68,1.99,NZ,1597305769
Avarua,-21.21,-159.78,71.6,73,1,16.11,CK,1597305769
Ribeira Grande,38.52,-28.7,66.2,77,20,6.93,PT,1597305769
Daru,-9.08,143.21,78.17,85,100,17.47,PG,1597305770
Umluj,25.02,37.27,90.21,50,0,8.12,SA,1597305770
Dikson,73.51,80.55,54.05,67,60,13.71,RU,1597305770
Chui,-33.7,-53.46,39.36,78,0,2.15,UY,1597305771
Flinders,-34.58,150.86,66.0,61,0,1.99,AU,1597305771
Geraldton,-28.77,114.6,64.4,59,12,10.29,AU,1597305771
Tromsø,69.65,18.96,51.8,87,40,11.41,NO,1597305574
Port Elizabeth,-33.92,25.57,57.2,71,75,17.22,ZA,1597305772
Saint-Médard-en-Jalles,44.9,-0.72,70.0,94,100,14.99,FR,1597305772
Carutapera,-1.2,-46.02,75.97,91,0,7.38,BR,1597305772
Kruisfontein,-34.0,24.73,57.0,78,99,5.99,ZA,1597305773
Qaanaaq,77.48,-69.36,34.36,82,100,9.75,GL,1597305773
Kapaa,22.08,-159.32,80.6,74,90,17.22,US,1597305773
Xincheng,33.63,115.18,88.48,79,96,10.49,CN,1597305773
Mahébourg,-20.41,57.7,75.2,60,40,16.11,MU,1597305665
Iqaluit,63.75,-68.51,44.6,66,75,3.47,CA,1597305774
Virginia Beach,36.85,-75.98,78.01,88,20,6.96,US,1597305774
Tazovsky,67.47,78.7,55.2,83,97,13.76,RU,1597305774
Tiksi,71.69,128.87,39.34,89,99,14.58,RU,1597305774
Yerbogachën,61.28,108.01,69.33,71,69,12.93,RU,1597305775
Vanimo,-2.67,141.3,83.1,73,9,5.28,PG,1597305775
Faya,18.39,42.45,82.4,31,16,4.7,SA,1597305775
Turukhansk,65.82,87.98,83.75,37,52,11.48,RU,1597305776
Yar-Sale,66.83,70.83,58.86,49,3,11.92,RU,1597305738
Mar del Plata,-38.0,-57.56,41.0,74,7,16.11,AR,1597305491
Ostrovnoy,68.05,39.51,48.69,75,86,15.43,RU,1597305776
Hermanus,-34.42,19.23,59.0,61,29,4.0,ZA,1597305777
Saskylakh,71.92,114.08,45.27,63,62,13.51,RU,1597305777
Syracuse,37.09,15.28,87.8,43,0,3.36,IT,1597305777
Caceres,39.52,-6.37,71.01,60,0,1.01,ES,1597305778
Pangnirtung,66.15,-65.71,44.65,75,88,4.0,CA,1597305778
Najrān,17.49,44.13,96.8,20,30,4.7,SA,1597305778
Yangi Marg`ilon,40.43,71.72,84.2,18,60,9.17,UZ,1597305778
Port Lincoln,-34.73,135.87,57.58,73,44,13.78,AU,1597305779
Dongsheng,39.82,109.98,84.29,18,0,17.63,CN,1597305779
Ancud,-41.87,-73.82,44.01,100,90,4.7,CL,1597305779
Manokwari,-0.87,134.08,81.54,78,100,6.69,ID,1597305780
Kālīnagar,28.62,80.1,78.73,94,100,14.34,IN,1597305780
Lavrentiya,65.58,-171.0,49.08,77,94,7.99,RU,1597305780
Douglas,41.3,-96.17,75.2,88,1,4.7,US,1597305776
Derzhavīnsk,51.1,66.32,62.89,65,100,8.43,KZ,1597305781
Saint-Philippe,-21.36,55.77,75.99,36,37,8.05,RE,1597305781
Takoradze,4.88,-1.76,75.16,77,44,3.0,GH,1597305781
Arraial do Cabo,-22.97,-42.03,71.69,84,52,28.34,BR,1597305605
Khovd,48.01,91.64,73.99,26,68,5.82,MN,1597305782
Leningradskiy,69.38,178.42,48.31,84,95,5.17,RU,1597305782
Hithadhoo,-0.6,73.08,82.4,75,16,4.65,MV,1597305782
Qasigiannguit,68.82,-51.19,39.2,93,93,13.87,GL,1597305782
Tuatapere,-46.13,167.68,42.01,73,71,1.99,NZ,1597305783
Porto de Moz,-1.75,-52.24,72.91,91,44,3.71,BR,1597305783
Altay,47.87,88.12,80.55,19,93,11.14,CN,1597305783
Kununurra,-15.77,128.73,95.0,21,75,8.05,AU,1597305784
Waipawa,-41.41,175.52,51.8,81,78,9.17,NZ,1597305784
Bredasdorp,-34.53,20.04,57.2,67,62,5.82,ZA,1597305784
Karpathos,35.51,27.21,82.4,65,0,29.97,GR,1597305784
Sofiyivka,48.05,33.87,69.8,43,40,11.18,UA,1597305785
Aklavik,68.22,-135.01,50.0,100,90,4.7,CA,1597305722
Talara,-4.58,-81.27,62.33,85,96,15.82,PE,1597305785
Jacaleapa,14.02,-86.67,63.54,96,75,2.68,HN,1597305785
Sambava,-14.27,50.17,75.42,54,1,12.91,MG,1597305786
Bat Yam,32.02,34.75,86.0,62,40,8.05,IL,1597305786
Khatanga,71.97,102.5,57.25,44,0,14.79,RU,1597305786
Tegul'det,57.31,88.17,80.01,44,6,7.67,RU,1597305787
Lüderitz,-26.65,15.16,63.99,35,0,12.39,NA,1597305787
Todos Santos,23.45,-110.22,78.01,87,22,1.99,MX,1597305787
Fort Myers Beach,26.45,-81.95,80.01,88,1,3.36,US,1597305522
Dawei,14.08,98.2,80.37,84,100,9.57,MM,1597305788
Severo-Kuril'sk,50.68,156.12,50.43,90,100,11.32,RU,1597305788
Bull Savanna,17.89,-77.59,75.6,81,20,3.0,JM,1597305789
Sobolevo,54.43,31.9,55.67,76,92,10.22,RU,1597305789
Bilibino,68.05,166.44,54.84,81,100,6.62,RU,1597305789
Rehnān,32.68,51.6,98.6,11,0,4.7,IR,1597305790
Upernavik,72.79,-56.15,41.4,83,100,19.64,GL,1597305790
Portland,45.52,-122.68,59.0,72,90,3.13,US,1597305584
Pudozh,61.81,36.53,57.72,56,84,4.36,RU,1597305790
Rengāli,21.63,84.05,89.6,70,75,5.97,IN,1597305791
Ciudad General Terán,25.27,-99.68,77.58,74,0,14.25,MX,1597305791
Dunedin,-45.87,170.5,43.0,69,100,8.34,NZ,1597305604
Hilo,19.73,-155.09,75.2,78,1,4.7,US,1597305608
Kiryat Gat,31.61,34.76,87.01,56,0,5.01,IL,1597305792
Dingle,11.0,122.67,81.72,84,100,2.28,PH,1597305792
Dalbandin,28.89,64.41,102.61,14,87,1.14,PK,1597305792
Tasiilaq,65.61,-37.64,39.2,86,0,13.87,GL,1597305792
Sakakah,29.97,40.21,91.4,26,0,8.05,SA,1597305793
Udachny,66.42,112.4,46.4,65,90,8.95,RU,1597305793
Sertã,39.81,-8.1,64.99,93,75,4.7,PT,1597305793
San Patricio,19.22,-104.7,78.33,78,100,4.34,MX,1597305793
Kolno,53.41,21.93,68.0,52,58,5.82,PL,1597305794
Elk Plain,47.05,-122.4,59.0,81,40,2.48,US,1597305794
Cairns,-16.92,145.77,77.0,65,40,6.93,AU,1597305497
Caravelas,-17.71,-39.25,68.22,89,0,4.52,BR,1597305794
Rawson,-43.3,-65.1,46.26,65,0,19.69,AR,1597305794
Chokurdakh,70.63,147.92,45.32,72,100,6.89,RU,1597305795
Ukiah,39.15,-123.21,66.2,37,1,2.17,US,1597305672
Pevek,69.7,170.31,41.92,96,100,2.48,RU,1597305795
Puerto Madryn,-42.77,-65.04,47.35,61,2,21.43,AR,1597305796
Summerville,33.02,-80.18,81.0,100,75,2.46,US,1597305601
Baraboo,43.47,-89.74,63.0,93,1,3.78,US,1597305796
Ola,59.58,151.28,57.25,83,32,3.51,RU,1597305796
Avera,33.19,-82.53,75.2,71,1,3.36,US,1597305797
Ahipara,-35.17,173.17,51.89,82,100,6.98,NZ,1597305797
São João da Barra,-21.64,-41.05,71.67,82,0,20.02,BR,1597305678
Puerto Carreño,6.19,-67.49,75.58,94,100,3.74,CO,1597305797
Benjamín Aceval,-24.97,-57.57,53.6,87,90,5.82,PY,1597305798
São Filipe,14.9,-24.5,77.38,81,100,7.36,CV,1597305798
Ushtobe,45.25,77.98,85.33,20,100,16.62,KZ,1597305798
Erzincan Province,39.75,39.5,78.8,36,0,2.24,TR,1597305799
Syas'stroy,60.14,32.57,58.37,65,98,4.99,RU,1597305799
Nishihara,26.18,127.76,89.6,62,40,12.75,JP,1597305799
Ust-Kuyga,70.02,135.6,50.07,57,100,20.94,RU,1597305799
Vila Velha,-20.33,-40.29,71.6,88,75,5.82,BR,1597305615
Puerto Escondido,15.85,-97.07,79.39,70,100,5.19,MX,1597305800
Provideniya,64.38,-173.3,49.55,79,100,6.33,RU,1597305800
Beshpagir,45.02,42.38,80.6,39,75,13.42,RU,1597305800
Vaini,-21.2,-175.2,69.8,94,75,9.17,TO,1597305801
Stromness,58.97,-3.3,55.4,100,90,8.05,GB,1597305801
Longyearbyen,78.22,15.64,50.0,71,75,4.7,SJ,1597305801
Rørvik,64.86,11.24,55.4,82,100,5.82,NO,1597305801
Waddān,29.16,16.14,86.04,31,0,8.16,LY,1597305801
Fare,-16.7,-151.02,77.59,82,0,16.08,PF,1597305802
Ponta do Sol,32.67,-17.1,71.6,64,20,9.17,PT,1597305802
Yeppoon,-23.13,150.73,77.0,53,0,5.82,AU,1597305802
Destin,30.39,-86.5,80.6,88,40,4.7,US,1597305802
Charters Towers,-20.1,146.27,75.16,51,0,13.82,AU,1597305803
Katsuura,35.13,140.3,91.4,66,75,8.05,JP,1597305803
Sitka,57.05,-135.33,53.6,81,75,3.36,US,1597305803
Nikolskoye,59.7,30.79,62.6,51,40,4.47,RU,1597305803
Ginir,7.13,40.7,70.84,64,17,1.63,ET,1597305804
Vrangel',42.73,133.08,74.55,73,98,1.95,RU,1597305804
Jackson,42.42,-122.83,68.0,40,1,3.36,US,1597305608
Salinópolis,-0.61,-47.36,78.42,87,1,10.31,BR,1597305804
Yellowknife,62.46,-114.35,62.6,72,90,10.29,CA,1597305648
Koslan,63.46,48.9,53.64,57,96,5.55,RU,1597305805
Te Anau,-45.42,167.72,36.86,87,72,4.85,NZ,1597305805
Salinas,36.68,-121.66,62.6,82,90,1.7,US,1597305729
Moba,33.23,105.02,75.04,48,0,5.19,CN,1597305806
Adrar,20.5,-10.07,91.31,36,24,7.36,MR,1597305806
Bowen,-20.02,148.23,77.0,61,0,8.05,AU,1597305806
Labuhan,-6.88,112.21,87.71,61,27,10.74,ID,1597305807
Sparks,39.53,-119.75,66.99,34,1,5.82,US,1597305807
Khangarh,29.92,71.16,100.4,53,0,13.87,PK,1597305807
Codrington,-38.27,141.97,53.02,90,2,7.96,AU,1597305807
Koumac,-20.57,164.28,67.84,73,0,12.68,NC,1597305808
Solnechnyy,50.72,136.63,73.44,55,29,2.64,RU,1597305808
Bilma,18.69,12.92,94.89,30,29,9.75,NE,1597305809
Yulara,-25.24,130.99,73.4,23,90,13.87,AU,1597305809
Krasnozerskoye,53.98,79.24,71.4,64,81,14.0,RU,1597305810
Hambantota,6.12,81.12,91.4,59,75,14.99,LK,1597305810
Nouakchott,18.09,-15.98,78.33,84,86,11.45,MR,1597305545
Miyako,39.64,141.95,81.32,67,22,4.5,JP,1597305811
San Vicente,-26.62,-54.13,57.51,100,98,1.57,AR,1597305811
Brigantine,39.41,-74.36,75.99,88,90,3.36,US,1597305811
Arrondissement de Nevers,46.92,3.33,68.0,77,64,5.82,FR,1597305811
Inhambupe,-11.78,-38.35,65.59,95,18,2.93,BR,1597305812
Eidsvåg,62.78,8.07,62.6,88,75,8.05,NO,1597305812
São Miguel do Araguaia,-13.28,-50.16,67.15,45,0,4.63,BR,1597305812
Nanortalik,60.14,-45.24,49.17,94,100,2.84,GL,1597305813
Verkhnevilyuysk,63.45,120.32,55.72,48,9,9.66,RU,1597305813
Olafsvik,64.89,-23.71,52.43,95,100,19.8,IS,1597305813
Karratha,-20.74,116.85,76.01,32,0,9.04,AU,1597305528
Awjilah,29.11,21.29,86.81,33,0,6.35,LY,1597305813
Carnarvon,-24.87,113.63,69.8,52,0,18.34,AU,1597305814
Storforshei,66.4,14.52,57.2,76,80,2.24,NO,1597305814
Lebu,-37.62,-73.65,48.74,84,92,4.76,CL,1597305815
Wawa,9.9,4.42,77.31,79,87,5.26,NG,1597305815
Tessalit,20.2,1.01,87.69,44,13,4.76,ML,1597305815
Kaitangata,-46.28,169.85,42.01,61,51,4.0,NZ,1597305815
Paungde,18.48,95.5,83.12,82,100,16.69,MM,1597305816
Kieta,-6.22,155.63,80.58,81,4,6.98,PG,1597305611
Kahului,20.89,-156.47,78.8,65,20,10.29,US,1597305816
Laguna,38.42,-121.42,73.4,43,1,5.82,US,1597305816
Myitkyina,25.38,97.4,77.45,96,100,1.72,MM,1597305816
Port-Gentil,-0.72,8.78,78.8,78,75,13.18,GA,1597305553
Marawi,8.0,124.29,75.0,93,100,1.01,PH,1597305817
Saint-Augustin,51.23,-58.65,63.59,94,69,6.31,CA,1597305817
Sault Ste. Marie,46.52,-84.33,64.4,72,1,3.36,CA,1597305817
Igrim,63.19,64.42,58.23,53,94,2.39,RU,1597305818
Paracuru,-3.41,-39.03,77.0,75,29,3.0,BR,1597305809
Pernem,15.72,73.8,81.27,80,100,11.9,IN,1597305818
Matadi,-5.82,13.45,74.93,66,100,4.52,CD,1597305818
Banepā,27.63,85.52,84.2,70,40,10.29,NP,1597305818
Norman Wells,65.28,-126.83,57.2,93,75,3.36,CA,1597305819
Kavaratti,10.57,72.64,86.0,70,40,9.17,IN,1597305819
Talnakh,69.49,88.4,80.6,39,0,22.37,RU,1597305819
Vung Tau,10.35,107.08,82.65,78,100,8.37,VN,1597305819
Barrow,71.29,-156.79,44.6,81,90,8.05,US,1597305820
Innisfail,-17.53,146.03,75.99,44,12,3.0,AU,1597305561
Rūdbār,30.15,62.6,102.65,8,6,7.7,AF,1597305820
Pauini,-7.71,-66.98,73.98,61,14,2.15,BR,1597305821
Castro,-24.79,-50.01,56.39,92,99,1.61,BR,1597305821
Tura,25.52,90.22,86.56,76,59,5.37,IN,1597305821
Hobyo,5.35,48.53,81.81,63,6,24.67,SO,1597305821
Owando,-0.48,15.9,82.27,64,43,6.29,CG,1597305822
Lac du Bonnet,50.25,-96.06,69.01,99,100,8.16,CA,1597305822
Pampa,35.54,-100.96,78.8,44,1,10.29,US,1597305823
San Cristobal,7.77,-72.22,65.28,91,73,3.0,VE,1597305823
Mount Gambier,-37.83,140.77,57.2,76,40,12.75,AU,1597305823
Vakhrushevo,55.23,61.72,64.4,48,40,2.24,RU,1597305823
Half Moon Bay,37.46,-122.43,60.8,82,1,3.36,US,1597305824
Meadow Lake,34.8,-106.54,80.6,28,90,5.82,US,1597305732
Faanui,-16.48,-151.75,76.71,84,3,17.27,PF,1597305824
Margate,51.38,1.39,73.0,83,100,1.01,GB,1597305824
Honningsvåg,70.98,25.97,50.38,74,85,4.23,NO,1597305825
Ambanja,-13.68,48.45,81.9,40,0,4.9,MG,1597305825
Atar,20.52,-13.05,86.68,50,0,5.64,MR,1597305825
Tigil',57.8,158.67,62.38,64,100,5.95,RU,1597305825
Constitución,-35.33,-72.42,46.18,82,0,6.67,CL,1597305826
Cherskiy,68.75,161.3,45.01,90,96,4.18,RU,1597305826
Manaure,11.78,-72.44,81.7,77,53,16.04,CO,1597305826
Correntina,-13.34,-44.64,61.48,82,0,4.38,BR,1597305826
Ginda,30.69,78.49,78.8,94,90,3.42,IN,1597305827
Baruun-Urt,46.68,113.28,61.09,79,96,18.37,MN,1597305827
Souillac,-20.52,57.52,75.2,60,40,16.11,MU,1597305664
Deputatsky,69.3,139.9,42.71,68,100,14.58,RU,1597305828
